Index,Year,First Author,Title,Venue,PDF Status,PDF File,Size_KB,Source
25,2018,Lu,"DeepSPINE: Automated Lumbar Vertebral Segmentation, Disc-Level Designation, and Spinal Stenosis Grading Using Deep Learning",Machine Learning for Healthcare,Summary & Abstract PDF,25_2018_Lu_DeepSPINE_Automated_Lumbar_Vertebral_Segmentation_Disc-Level.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
26,2020,Ishimoto,Could Automated Machine-Learned MRI Grading Aid Epidemiological Studies of Lumbar Spinal Stenosis? Validation within the Wakayama Spine Study,BMC Musculoskeletal Disorders,Summary & Abstract PDF,26_2020_Ishimoto_Could_Automated_Machine-Learned_MRI_Grading_Aid_Epidemiologi.pdf,4.6,Generated Summary & Abstract PDF (Paywalled)
27,2020,Won,Spinal Stenosis Grading in Magnetic Resonance Imaging Using Deep Convolutional Neural Networks,Spine,Summary & Abstract PDF,27_2020_Won_Spinal_Stenosis_Grading_in_Magnetic_Resonance_Imaging_Using_.pdf,4.3,Generated Summary & Abstract PDF (Paywalled)
28,2021,Lehnen,Detection of Degenerative Changes on MR Images of the Lumbar Spine with a Convolutional Neural Network: A Feasibility Study,Diagnostics,Summary & Abstract PDF,28_2021_Lehnen_Detection_of_Degenerative_Changes_on_MR_Images_of_the_Lumbar.pdf,3.4,Generated Summary & Abstract PDF (Paywalled)
29,2022,Su,"Automatic Grading of Disc Herniation, Central Canal Stenosis and Nerve Roots Compression in Lumbar Magnetic Resonance Image Diagnosis",Frontiers in Endocrinology,Summary & Abstract PDF,29_2022_Su_Automatic_Grading_of_Disc_Herniation_Central_Canal_Stenosis_.pdf,5.0,Generated Summary & Abstract PDF (Paywalled)
30,2022,Lim,Improved Productivity Using Deep Learning-Assisted Reporting for Lumbar Spine MRI,Radiology,Summary & Abstract PDF,30_2022_Lim_Improved_Productivity_Using_Deep_Learning-Assisted_Reporting.pdf,5.2,Summary & Abstract PDF (Paywalled Reference)
31,2022,Grob,External Validation of the Deep Learning System SpineNet for Grading Radiological Features of Degeneration on MRIs of the Lumbar Spine,European Spine Journal,Summary & Abstract PDF,31_2022_Grob_External_Validation_of_the_Deep_Learning_System_SpineNet_for.pdf,3.6,Generated Summary & Abstract PDF (Paywalled)
32,2023,Bharadwaj,"Deep Learning for Automated, Interpretable Classification of Lumbar Spinal Stenosis and Facet Arthropathy from Axial MRI",European Radiology,Summary & Abstract PDF,32_2023_Bharadwaj_Deep_Learning_for_Automated_Interpretable_Classification_of_.pdf,3.7,Generated Summary & Abstract PDF (Paywalled)
33,2023,Altun,LSS-VGG16: Diagnosis of Lumbar Spinal Stenosis with Deep Learning,Clinical Spine Surgery,Summary & Abstract PDF,33_2023_Altun_LSS-VGG16_Diagnosis_of_Lumbar_Spinal_Stenosis_with_Deep_Lear.pdf,3.4,Generated Summary & Abstract PDF (Paywalled)
34,2023,Shahzadi,Nerve Root Compression Analysis to Find Lumbar Spine Stenosis on MRI Using CNN,Diagnostics,Summary & Abstract PDF,34_2023_Shahzadi_Nerve_Root_Compression_Analysis_to_Find_Lumbar_Spine_Stenosi.pdf,4.4,Generated Summary & Abstract PDF (Paywalled)
35,2023,Yi,Deep Learning-Based High-Accuracy Detection for Lumbar and Cervical Degenerative Disease on T2-Weighted MR Images,European Spine Journal,Summary & Abstract PDF,35_2023_Yi_Deep_Learning-Based_High-Accuracy_Detection_for_Lumbar_and_C.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
36,2024,Tumko,A Neural Network Model for Detection and Classification of Lumbar Spinal Stenosis on MRI,European Spine Journal,Summary & Abstract PDF,36_2024_Tumko_A_Neural_Network_Model_for_Detection_and_Classification_of_L.pdf,3.4,Generated Summary & Abstract PDF (Paywalled)
37,2025,Wang,A Novel Deep Learning System for Automated Diagnosis and Grading of Lumbar Spinal Stenosis Based on Spine MRI: Model Development and Validation,Neurosurgical Focus,Summary & Abstract PDF,37_2025_Wang_A_Novel_Deep_Learning_System_for_Automated_Diagnosis_and_Gra.pdf,4.8,Generated Summary & Abstract PDF (Paywalled)
38,2025,Zeng,GPT4LFS: Enhancing Lumbar Foraminal Stenosis Image Classification Through Large Multimodal Models,The Spine Journal,Summary & Abstract PDF,38_2025_Zeng_GPT4LFS_Enhancing_Lumbar_Foraminal_Stenosis_Image_Classifica.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
39,2026,Tabarestani,A Novel Interpretable Classification of Lumbar Spinal Stenosis Using a Cascade Deep Learning Approach and T2-Weighted MRI,Journal of Neurosurgery: Spine,Summary & Abstract PDF,39_2026_Tabarestani_A_Novel_Interpretable_Classification_of_Lumbar_Spinal_Stenos.pdf,4.6,Generated Summary & Abstract PDF (Paywalled)
40,2026,Lee,Deep Learning Models for Lumbar Spinal Stenosis on MRI: Model Comparison and Clinical Benchmarking,Clinical research article,Summary & Abstract PDF,40_2026_Lee_Deep_Learning_Models_for_Lumbar_Spinal_Stenosis_on_MRI_Model.pdf,4.8,Summary & Abstract PDF (Paywalled Reference)
41,2026,Udomluck,Multi-Task Deep Learning Model for Automated Detection and Grading of Lumbar Spinal Stenosis,Research article,Summary & Abstract PDF,41_2026_Udomluck_Multi-Task_Deep_Learning_Model_for_Automated_Detection_and_G.pdf,4.6,Generated Summary & Abstract PDF (Paywalled)
42,2021,Niemeyer,A Deep Learning Model for the Accurate and Reliable Classification of Disc Degeneration Based on MRI Data,Investigative Radiology,Summary & Abstract PDF,42_2021_Niemeyer_A_Deep_Learning_Model_for_the_Accurate_and_Reliable_Classifi.pdf,5.0,Generated Summary & Abstract PDF (Paywalled)
43,2021,Pan,Automatically Diagnosing Disk Bulge and Disk Herniation with Lumbar Magnetic Resonance Images by Using Deep Convolutional Neural Networks,JMIR Medical Informatics,Summary & Abstract PDF,43_2021_Pan_Automatically_Diagnosing_Disk_Bulge_and_Disk_Herniation_with.pdf,4.7,Generated Summary & Abstract PDF (Paywalled)
44,2021,Tsai,Lumbar Disc Herniation Automatic Detection in Magnetic Resonance Imaging Based on Deep Learning,Frontiers in Bioengineering and Biotechnology,Summary & Abstract PDF,44_2021_Tsai_Lumbar_Disc_Herniation_Automatic_Detection_in_Magnetic_Reson.pdf,4.5,Generated Summary & Abstract PDF (Paywalled)
45,2022,Zheng,Deep Learning-Based High-Accuracy Quantitation for Lumbar Intervertebral Disc Degeneration from MRI,Nature Communications,Summary & Abstract PDF,45_2022_Zheng_Deep_Learning-Based_High-Accuracy_Quantitation_for_Lumbar_In.pdf,4.4,Generated Summary & Abstract PDF (Paywalled)
46,2022,Kowlagi,A Stronger Baseline for Automatic Pfirrmann Grading of Lumbar Spine MRI Using Deep Learning,ISBI / arXiv,Summary & Abstract PDF,46_2022_Kowlagi_A_Stronger_Baseline_for_Automatic_Pfirrmann_Grading_of_Lumba.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
47,2022,Sustersic,A Deep Learning Model for Automatic Detection and Classification of Disc Herniation in Magnetic Resonance Images,IEEE Journal of Biomedical and Health Informatics,Summary & Abstract PDF,47_2022_Sustersic_A_Deep_Learning_Model_for_Automatic_Detection_and_Classifica.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
48,2022,Gao,Automatic Detection and Voxel-Wise Mapping of Lumbar Spine Modic Changes with Deep Learning,Research article,Summary & Abstract PDF,48_2022_Gao_Automatic_Detection_and_Voxel-Wise_Mapping_of_Lumbar_Spine_M.pdf,4.9,Generated Summary & Abstract PDF (Paywalled)
49,2023,Liawrungrueang,"Automatic Detection, Classification, and Grading of Lumbar Intervertebral Disc Degeneration Using an Artificial Neural Network Model",Diagnostics,Summary & Abstract PDF,49_2023_Liawrungrueang_Automatic_Detection_Classification_and_Grading_of_Lumbar_Int.pdf,4.3,Generated Summary & Abstract PDF (Paywalled)
50,2023,Zhang,Deep Learning-Based Detection and Classification of Lumbar Disc Herniation on Magnetic Resonance Images,JOR Spine,Summary & Abstract PDF,50_2023_Zhang_Deep_Learning-Based_Detection_and_Classification_of_Lumbar_D.pdf,4.8,Generated Summary & Abstract PDF (Paywalled)
51,2024,Natalia,Lumbar Spine MRI Annotation with Intervertebral Disc Height and Pfirrmann Grade Predictions,PLOS ONE,Full Paper PDF,51_2024_Natalia_Lumbar_Spine_MRI_Annotation_with_Intervertebral_Disc_Height_.pdf,4707.2,Full Paper PDF (Open Access / Preprint)
52,2024,Baur,Automated Three-Dimensional Imaging and Pfirrmann Classification of Intervertebral Disc Using a Graphical Neural Network in Sagittal MRI,Journal of Imaging Informatics in Medicine,Summary & Abstract PDF,52_2024_Baur_Automated_Three-Dimensional_Imaging_and_Pfirrmann_Classifica.pdf,4.6,Generated Summary & Abstract PDF (Paywalled)
53,2025,Wang,Automated Diagnosis and Grading of Lumbar Intervertebral Disc Degeneration Based on Deep Learning,Frontiers in Bioengineering and Biotechnology,Summary & Abstract PDF,53_2025_Wang_Automated_Diagnosis_and_Grading_of_Lumbar_Intervertebral_Dis.pdf,4.5,Generated Summary & Abstract PDF (Paywalled)
54,2025,Minin,SpineScan: A Deep Learning Model for Lumbar Spine MRI Annotation and Pfirrmann Grading Assessment,European Spine Journal,Summary & Abstract PDF,54_2025_Minin_SpineScan_A_Deep_Learning_Model_for_Lumbar_Spine_MRI_Annotat.pdf,4.5,Generated Summary & Abstract PDF (Paywalled)
55,2025,Yilihamu,Quantification and Classification of Lumbar Disc Herniation on Axial Magnetic Resonance Images Using Deep Learning Models,La Radiologia Medica,Summary & Abstract PDF,55_2025_Yilihamu_Quantification_and_Classification_of_Lumbar_Disc_Herniation_.pdf,4.7,Generated Summary & Abstract PDF (Paywalled)
56,2026,Patil,MRI-Based Deep Learning Radiomics Model for Automated Classification of Disc Degeneration in the Lumbar Spine,Scientific Reports,Summary & Abstract PDF,56_2026_Patil_MRI-Based_Deep_Learning_Radiomics_Model_for_Automated_Classi.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
57,2026,Nguyen,CrossSpine: Multi-scale Cross-sequence Attention with Anatomical Priors for Automated Pfirrmann Grading,arXiv,Summary & Abstract PDF,57_2026_Nguyen_CrossSpine_Multi-scale_Cross-sequence_Attention_with_Anatomi.pdf,3.4,Generated Summary & Abstract PDF (Paywalled)
58,2018,Han,Spine-GAN: Semantic Segmentation of Multiple Spinal Structures,Medical Image Analysis,Summary & Abstract PDF,58_2018_Han_Spine-GAN_Semantic_Segmentation_of_Multiple_Spinal_Structure.pdf,3.4,Generated Summary & Abstract PDF (Paywalled)
59,2019,Al-Kafri,Boundary Delineation of MRI Images for Lumbar Spinal Stenosis Detection Through Semantic Segmentation Using Deep Neural Networks,IEEE Access,Summary & Abstract PDF,59_2019_Al-Kafri_Boundary_Delineation_of_MRI_Images_for_Lumbar_Spinal_Stenosi.pdf,3.6,Generated Summary & Abstract PDF (Paywalled)
60,2020,Kuang,MRI-SegFlow: A Novel Unsupervised Deep Learning Pipeline Enabling Accurate Vertebral Segmentation of MRI Images,IEEE EMBC,Summary & Abstract PDF,60_2020_Kuang_MRI-SegFlow_A_Novel_Unsupervised_Deep_Learning_Pipeline_Enab.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
61,2022,Wang,Automatic Segmentation of Lumbar Spine MRI Images Based on Improved Attention U-Net,Computational Intelligence and Neuroscience,Summary & Abstract PDF,61_2022_Wang_Automatic_Segmentation_of_Lumbar_Spine_MRI_Images_Based_on_I.pdf,4.1,Generated Summary & Abstract PDF (Paywalled)
62,2024,van der Graaf,Lumbar Spine Segmentation in MR Images: A Dataset and a Public Benchmark,Scientific Data / benchmark,Summary & Abstract PDF,62_2024_van_der_Graaf_Lumbar_Spine_Segmentation_in_MR_Images_A_Dataset_and_a_Publi.pdf,4.3,Generated Summary & Abstract PDF (Paywalled)
63,2024,Chen,SymTC: A Symbiotic Transformer-CNN Net for Instance Segmentation of Lumbar Spine MRI,arXiv,Summary & Abstract PDF,63_2024_Chen_SymTC_A_Symbiotic_Transformer-CNN_Net_for_Instance_Segmentat.pdf,3.4,Generated Summary & Abstract PDF (Paywalled)
64,2024,Ahmed,Pioneering Precision in Lumbar Spine MRI Segmentation with Advanced Deep Learning and Data Enhancement,arXiv,Summary & Abstract PDF,64_2024_Ahmed_Pioneering_Precision_in_Lumbar_Spine_MRI_Segmentation_with_A.pdf,4.2,Generated Summary & Abstract PDF (Paywalled)
65,2025,Ghobrial,Deep Learning-Based Automated Segmentation and Quantification of the Dural Sac Cross-Sectional Area in Lumbar Spine MRI,Frontiers in Radiology,Summary & Abstract PDF,65_2025_Ghobrial_Deep_Learning-Based_Automated_Segmentation_and_Quantificatio.pdf,4.9,Generated Summary & Abstract PDF (Paywalled)
66,2025,Silveira,Automated Lumbar Spine Segmentation in MRI Using an Enhanced U-Net with Inception Module and Dual-Output Mechanism,Scientific Reports,Summary & Abstract PDF,66_2025_Silveira_Automated_Lumbar_Spine_Segmentation_in_MRI_Using_an_Enhanced.pdf,4.3,Generated Summary & Abstract PDF (Paywalled)
67,2025,Möller,SPINEPS—Automatic Whole Spine Segmentation of T2-Weighted MRI,Research article,Summary & Abstract PDF,67_2025_Möller_SPINEPSAutomatic_Whole_Spine_Segmentation_of_T2-Weighted_MRI.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
68,2026,Ji,MDVM-UNet: Lumbar MRI Segmentation and Lordosis Angle Measurement via a Dual-Driven Mechanism,BMC Medical Imaging,Summary & Abstract PDF,68_2026_Ji_MDVM-UNet_Lumbar_MRI_Segmentation_and_Lordosis_Angle_Measure.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
69,2024,RSNA,RSNA 2024 Lumbar Spine Degenerative Classification AI Challenge,RSNA / Kaggle challenge,Full Paper PDF,69_2024_RSNA_RSNA_2024_Lumbar_Spine_Degenerative_Classification_AI_Challe.pdf,129.6,Full Paper PDF (Open Access / Preprint)
70,2026,Richards,The RSNA Lumbar Degenerative Imaging Spine Classification (LumbarDISC) Dataset,Radiology: Artificial Intelligence,Summary & Abstract PDF,70_2026_Richards_The_RSNA_Lumbar_Degenerative_Imaging_Spine_Classification_Lu.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
71,2025,Batra,M-SCAN: A Multistage Framework for Lumbar Spinal Canal Stenosis Grading Using Multi-View Cross Attention,arXiv,Summary & Abstract PDF,71_2025_Batra_M-SCAN_A_Multistage_Framework_for_Lumbar_Spinal_Canal_Stenos.pdf,3.6,Generated Summary & Abstract PDF (Paywalled)
72,2025,Park,Multi-View and Multimodal Radiological Grading Using Spinal MRI,Research manuscript,Summary & Abstract PDF,72_2025_Park_Multi-View_and_Multimodal_Radiological_Grading_Using_Spinal_.pdf,3.5,Summary & Abstract PDF (Paywalled Reference)
73,2025,Liu,Automated Lumbar Spine Degenerative Classification Using MobileNetV2-UNet,Journal article,Summary & Abstract PDF,73_2025_Liu_Automated_Lumbar_Spine_Degenerative_Classification_Using_Mob.pdf,4.2,Generated Summary & Abstract PDF (Paywalled)
74,2026,Acharya,Disc-Centric Contrastive Learning for Lumbar Spine Severity Grading,arXiv,Full Paper PDF,74_2026_Acharya_Disc-Centric_Contrastive_Learning_for_Lumbar_Spine_Severity_.pdf,2689.5,Full Paper PDF (Open Access / Preprint)
75,2026,Islam Sk.,An Explainable Vision-Language Model Framework with Adaptive PID-Tversky Loss for Lumbar Spinal Stenosis Diagnosis,arXiv,Summary & Abstract PDF,75_2026_Islam_Sk_An_Explainable_Vision-Language_Model_Framework_with_Adaptive.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
76,2023,McSweeney,"External Validation of SpineNet, an Open-Source Deep Learning Model for Grading Lumbar Disk Degeneration MRI Features, Using the Northern Finland Birth Cohort 1966",Spine,Summary & Abstract PDF,76_2023_McSweeney_External_Validation_of_SpineNet_an_Open-Source_Deep_Learning.pdf,3.4,Generated Summary & Abstract PDF (Paywalled)
77,2024,Nigru,External Validation of SpineNetV2 on a Comprehensive Set of Radiological Features for Grading Lumbosacral Disc Pathologies,North American Spine Society Journal,Summary & Abstract PDF,77_2024_Nigru_External_Validation_of_SpineNetV2_on_a_Comprehensive_Set_of_.pdf,3.6,Generated Summary & Abstract PDF (Paywalled)
78,2025,Murto,Comparison of Lumbar Disc Degeneration Grading Between Deep Learning Model SpineNet and Radiologist: A Longitudinal Study with a 14-Year Follow-Up,European Spine Journal,Summary & Abstract PDF,78_2025_Murto_Comparison_of_Lumbar_Disc_Degeneration_Grading_Between_Deep_.pdf,4.4,Generated Summary & Abstract PDF (Paywalled)
79,2026,Wu,External Validation of SpineNetv2 Deep Learning System for Automated Lumbar Spine MRI Analysis,European Spine Journal,Summary & Abstract PDF,79_2026_Wu_External_Validation_of_SpineNetv2_Deep_Learning_System_for_A.pdf,4.9,Generated Summary & Abstract PDF (Paywalled)
80,2021,Athertya,Classification of Certain Vertebral Degenerations Using MRI and Deep Learning,Research article,Summary & Abstract PDF,80_2021_Athertya_Classification_of_Certain_Vertebral_Degenerations_Using_MRI_.pdf,4.5,Generated Summary & Abstract PDF (Paywalled)
81,2022,Cheung,Learning-Based Fully Automated Prediction of Lumbar Disc Degeneration Progression with Specified Clinical Parameters and Preliminary Validation,Research article,Summary & Abstract PDF,81_2022_Cheung_Learning-Based_Fully_Automated_Prediction_of_Lumbar_Disc_Deg.pdf,3.6,Generated Summary & Abstract PDF (Paywalled)
82,2024,Nikpasand,Automated Magnetic Resonance Imaging-Based Grading of the Lumbar Intervertebral Disc and Facet Joints,JOR Spine,Summary & Abstract PDF,82_2024_Nikpasand_Automated_Magnetic_Resonance_Imaging-Based_Grading_of_the_Lu.pdf,4.7,Generated Summary & Abstract PDF (Paywalled)
83,2025,Ke,Integrating Deep Learning into Clinical Decision-Making for Lumbar Degenerative Disease on MRI,Clinical research article,Summary & Abstract PDF,83_2025_Ke_Integrating_Deep_Learning_into_Clinical_Decision-Making_for_.pdf,4.5,Generated Summary & Abstract PDF (Paywalled)
84,2015,Lootus,Automated Radiological Grading of Spinal MRI,Lecture Notes in Computational Vision and Biomechanics,Summary & Abstract PDF,84_2015_Lootus_Automated_Radiological_Grading_of_Spinal_MRI.pdf,3.4,Generated Summary & Abstract PDF (Paywalled)
85,2015,Unal,Detection of Abnormalities in Lumbar Discs from Clinical Lumbar MRI with Hybrid Models,Applied Soft Computing,Summary & Abstract PDF,85_2015_Unal_Detection_of_Abnormalities_in_Lumbar_Discs_from_Clinical_Lum.pdf,3.4,Generated Summary & Abstract PDF (Paywalled)
86,2016,Castro-Mateos,Intervertebral Disc Classification by Its Degree of Degeneration from T2-Weighted Magnetic Resonance Images,European Spine Journal,Summary & Abstract PDF,86_2016_Castro-Mateos_Intervertebral_Disc_Classification_by_Its_Degree_of_Degenera.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
87,2021,Hallinan,"Deep Learning Model for Automated Detection and Classification of Central Canal, Lateral Recess, and Neural Foraminal Stenosis at Lumbar Spine MRI",Radiology,Summary & Abstract PDF,87_2021_Hallinan_Deep_Learning_Model_for_Automated_Detection_and_Classificati.pdf,3.8,Generated Summary & Abstract PDF (Paywalled)
88,2021,Sáenz-Gamboa,Automatic Semantic Segmentation of Structural Elements Related to the Spinal Cord in the Lumbar Region by Using Convolutional Neural Networks,ICPR,Summary & Abstract PDF,88_2021_Sáenz-Gamboa_Automatic_Semantic_Segmentation_of_Structural_Elements_Relat.pdf,3.4,Generated Summary & Abstract PDF (Paywalled)
89,2023,Sáenz-Gamboa,Automatic Semantic Segmentation of the Lumbar Spine: Clinical Applicability in a Multi-Parametric and Multi-Center Study on Magnetic Resonance Images,Artificial Intelligence in Medicine,Summary & Abstract PDF,89_2023_Sáenz-Gamboa_Automatic_Semantic_Segmentation_of_the_Lumbar_Spine_Clinical.pdf,4.3,Generated Summary & Abstract PDF (Paywalled)
90,2023,Silveira,Automated lumbar spine segmentation in MRI using an enhanced U-Net with inception module and dual-output mechanism,International Journal of Intelligent Systems,Summary & Abstract PDF,90_2023_Silveira_Automated_lumbar_spine_segmentation_in_MRI_using_an_enhanced.pdf,4.3,Generated Summary & Abstract PDF (Paywalled)
91,2025,Patel,Automated Detection and Classification of Lumbar Spine Degenerative Conditions Using Deep Learning,IEEE conference/article,Summary & Abstract PDF,91_2025_Patel_Automated_Detection_and_Classification_of_Lumbar_Spine_Degen.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
92,2025,Garcia de Celis,Deep Learning-Based Lumbar Spinal Canal Stenosis Classification Using MRI Scans,Medical Research Archives,Summary & Abstract PDF,92_2025_Garcia_de_Celis_Deep_Learning-Based_Lumbar_Spinal_Canal_Stenosis_Classificat.pdf,4.4,Generated Summary & Abstract PDF (Paywalled)
